ID,Company,Category,Difficulty,Hops,Question,Expected Answer,Generated Answer,Correctness,Correctness Score,Groundedness,Groundedness Score,Completeness,Completeness Score,Overall Score,Judge Reason
q055,ITC,temporal_trend,medium,2,How did ITC’s Gross Sales Value change from FY 2024 to FY 2026?,"It increased from ₹105,106 crore to ₹121,044 crore, an increase of ₹15,938 crore (about 15.2%).","ITC's Gross Sales Value increased by ₹ 15,938 crores from FY 2024 to FY 2026. This represents a growth of approximately 15.16% over the two years.",pass,1,pass,1,partial,0.5,0.833333333,"The answer is factually correct and supported by the context: FY24 value 105,106 and FY26 value 121,044 imply an increase of 15,938 and about 15.16%. It omits the starting and ending values explicitly, so it is slightly less complete than the expected answer."
q056,ITC,temporal_trend,hard,1,How has ITC’s sustainability-positive record evolved according to the FY2026 overview?,"ITC is reported as Carbon Positive for 21 years, Water Positive for 24 years, and Solid Waste Recycling Positive for 19 years.","According to the FY2026 overview from ITC's report:

- ITC has been Carbon Positive for 21 years, Water Positive for 24 years, and Solid Waste Recycling Positive for 19 years.
- The company’s sustainability efforts support 90 lakh (9 million) sustainable livelihoods.
- During FY 2025-26, ITC achieved 51% of its energy consumption from renewable sources.
- ITC has maintained plastic neutrality for 5 years as part of its commitment to managing plastic waste.
- ITC’s large-scale Sustainable Agriculture programs covered 3.19 million acres.
- The company has made commendable progress towards its 2030 targets for specific energy consumption, greenhouse gas emissions, and water consumption.
- ITC plans to achieve Net Zero Operations by 2050 for Scope 1 and Scope 2 emissions and is working on Scope 3 decarbonisation.
- The firm continues to strengthen governance, policy framework, and ESG disclosure in line with evolving expectations.

Overall, ITC has demonstrated a strong and evolving commitment to sustainability with a multi-decade track record of being positive in key environmental domains and setting ambitious future goals.",pass,1,partial,0.5,pass,1,0.833333333,"The core answer matches the expected sustainability-positive record exactly. It is supported by the retrieved context. The extra sustainability details are mostly supported by the context, though some are not necessary to answer the question."
q057,ITC,risk_qualitative,easy,1,What are the four pillars of the ITC Next strategy?,"Future Tech, Consumer Centric, Climate Positive, Inclusive.","The four pillars of the ITC Next strategy are:

1. Future Tech
2. Consumer Centric
3. Climate Positive
4. Inclusive

These pillars focus on building a future-ready, consumer-centric, climate positive, and inclusive organization to strengthen competitiveness, profitability, and resilience. (Source: ITC-Report-and-Accounts-2026)",pass,1,partial,0.5,pass,1,0.833333333,"The answer matches the expected four pillars exactly. The extra explanatory sentence is supported by the retrieved context, though the specific wording about strengthening competitiveness, profitability, and resilience is not part of the expected answer."
q058,ITC,risk_qualitative,medium,2,"What long-term challenge did ITC identify for the Paperboards, Paper & Packaging segment?","Low-priced Chinese and Indonesian supplies, weak domestic demand, elevated wood costs, and related pressure on realisations and margins.","ITC identified the long-term challenge of fibre security for the Paperboards, Paper & Packaging segment. The company is focusing on strengthening long-term fibre security through structural programs across plantations, catchment expansion, and productivity enhancement. It is also engaging with policy stakeholders to enable collaborative plantation models. Additionally, the company has been advocating for policy measures to allow industries to raise tree plantations on degraded forest land, which would help domestic industries become self-sufficient and cost competitive and ensure adequate availability of raw materials. These actions are aimed at mitigating the risks associated with wood procurement and ensuring sustainable fibre availability for the future. 

This is supported by information from Passages 3 and 4 in the ITC 2026 report.",partial,0.5,partial,0.5,fail,0,0.333333333,"The answer correctly identifies fibre security and mitigation efforts, but it misses the question’s main point about the long-term challenge being low-priced Chinese and Indonesian supplies, weak domestic demand, elevated wood costs, and pressure on realisations and margins. It also adds some unsupported framing not stated in the retrieved context."
q059,ITC,risk_qualitative,medium,1,What were the five strategic priorities ITC identified for the tobacco value chain?,"Quality, Consistency, Compliance, Climate risk mitigation, and Sustainability.","The five strategic priorities ITC identified for the tobacco value chain are:

1. Quality
2. Consistency
3. Compliance
4. Climate risk mitigation
5. Sustainability

(Source: ITC-Report-and-Accounts-2026, Passage 1)",pass,1,pass,1,pass,1,1,The generated answer exactly matches the expected five priorities and is fully supported by the retrieved context.
q060,ITC,risk_qualitative,hard,1,What regulatory issue did ITC identify as a major risk to the legal cigarette industry in India?,"A punitive/discriminatory taxation and regulatory regime, including higher GST and excise duty incidence, which ITC says contributes to illicit trade and operating pressure.","ITC identified the punitive and discriminatory taxation and regulatory regime as a major risk to the legal cigarette industry in India. This regime has led to significant operating challenges, an unprecedented increase in tax incidence on cigarettes, and has contributed to the rapid growth of illicit cigarette trade. The high tax rates have resulted in affordability pressures, fuelled illicit trade, and adversely impacted legal sales and revenues. ITC highlights that legal cigarettes constitute only 10% of overall tobacco consumption in India, compared to a global average of 90%, and that high taxes have caused a shift to cheaper illicit alternatives, undermining the legal cigarette industry's market and hurting farmers, MSMEs, retailers, and the local value chains. The company also notes that coordinated efforts and a balanced approach addressing both taxation and enforcement are critical to contain illicit trade and support the industry's sustainability.",pass,1,pass,1,pass,1,1,"The answer matches the expected issue: ITC cited a punitive/discriminatory taxation and regulatory regime, with higher tax incidence driving illicit trade and pressure on the legal cigarette industry. It is fully supported by the retrieved context and includes the key required points."
q061,Cross-document,cross_document,easy,2,"Between Infosys and TCS, which company reported the higher FY2026 revenue, and by how much?","TCS reported ₹2,67,021 crore versus Infosys’ ₹1,78,650 crore, so TCS was higher by ₹88,371 crore.","In FY2026, TCS reported a higher revenue than Infosys. 

- TCS revenue: ₹267,021 crore
- Infosys revenue: ₹178,650 crore

The difference in revenue is ₹88,371 crore, with TCS having the higher revenue.",pass,1,pass,1,pass,1,1,"The answer matches the evidence: TCS revenue is ₹2,67,021 crore and Infosys revenue is ₹1,78,650 crore, so the difference is ₹88,371 crore. All claims are supported by the retrieved context."
q062,Cross-document,cross_document,easy,2,"Comparing the reported FY2026 operating-margin figures, which was higher: Infosys’ adjusted operating margin or TCS’ operating margin, and by how many percentage points?","TCS was higher at 25.0% versus Infosys’ adjusted operating margin of 21.0%, a difference of 4.0 percentage points. The measures should not be treated as identical definitions.","For FY2026, TCS' operating margin was 25.0%, while Infosys' adjusted operating margin was 23.7%. TCS' operating margin was higher by 1.3 percentage points compared to Infosys.",fail,0,fail,0,fail,0,0,"The generated answer is incorrect: the context shows Infosys’ FY2026 operating margin was 23.7% (not 21.0%), and TCS was higher by 1.3 points, not 4.0. It is also unsupported because the retrieved context explicitly gives Infosys 23.7% and TCS 25.0%."
q063,Cross-document,cross_document,easy,2,"Which company reported the higher FY2026 EPS, Infosys or TCS, and what was the difference?","TCS reported ₹145.99 versus Infosys’ ₹71.58, so TCS was higher by ₹74.41 per share.",TCS reported the higher FY2026 EPS with ₹145.99 compared to Infosys's ₹71.58. The difference in EPS between TCS and Infosys for FY2026 is ₹74.41.,pass,1,pass,1,pass,1,1,"The answer matches the expected figures: TCS FY2026 EPS is ₹145.99, Infosys FY2026 basic EPS is ₹71.58, and the difference is ₹74.41. All claims are supported by the retrieved context."
q064,Cross-document,cross_document,easy,2,How did the FY2026 large-deal/contract-value figures of TCS and Infosys compare?,"TCS reported total contract value of US$40.7 billion, compared with Infosys’ large-deal TCV of US$14.9 billion; TCS was higher by US$25.8 billion.","From the provided context:

- TCS reported a total contract value exceeding US$ 40 billion in large deals for FY 2026 (Passage 5).
- Infosys reported a large deal total contract value (TCV) of US$ 14.9 billion for FY 2026 (Passage 2).

Comparison:
- TCS's large deal total contract value (US$ 40 billion+) is significantly higher than Infosys's large deal total contract value (US$ 14.9 billion) for FY 2026.",pass,1,pass,1,partial,0.5,0.833333333,The answer is correct and supported by the context: TCS was over US$40 billion and Infosys was US$14.9 billion. It omits the precise TCS figure of US$40.7 billion and the exact difference of US$25.8 billion.
q065,Cross-document,cross_document,medium,2,"Which company reported the higher cash-conversion figure in FY2026, Infosys or TCS, and by how many percentage points?","Infosys reported 112.3% free-cash-flow conversion versus TCS’ 105.9% cash conversion, so the reported figures differ by 6.4 percentage points. The underlying conversion definitions differ.","Infosys reported a cash conversion figure of 112.3% in FY 2026, while TCS reported a cash conversion figure of 105.9% in the same fiscal year. Infosys's cash conversion figure was higher by 6.4 percentage points compared to TCS in FY 2026.",pass,1,pass,1,pass,1,1,"The answer matches the expected figures: Infosys 112.3% vs TCS 105.9%, a difference of 6.4 percentage points. Both numbers are supported by the retrieved context."
q066,Cross-document,cross_document,medium,2,"Between Infosys and ITC, which reported the higher FY2026 profit figure, and what was the difference?","Infosys reported net profit of ₹29,440 crore versus ITC PAT of ₹20,286.42 crore, a difference of ₹9,153.58 crore. The reports use different labels for the profit measure.","Infosys reported a higher FY2026 profit figure of ₹29,440 crore compared to ITC's profit of ₹20,286.42 crore. The difference in profit between Infosys and ITC for FY2026 is ₹9,153.58 crore, with Infosys having the higher profit.",pass,1,pass,1,pass,1,1,"The answer matches the evidence: Infosys FY2026 net profit is ₹29,440 crore and ITC FY2025-26 PAT is ₹20,286.42 crore, giving a difference of ₹9,153.58 crore. It also correctly indicates Infosys is higher."
q067,Cross-document,cross_document,medium,2,How did the reported FY2026 dividend-per-share figures of Infosys and ITC compare?,"Infosys reported ₹48.00 per share, while ITC reported total dividend of ₹14.50 per share; Infosys’ reported figure was ₹33.50 higher.","The reported FY2026 dividend-per-share figures are as follows:

- Infosys: ₹48.0 per share (from Passage 1 and confirmed in Passage 8 and 6).
- ITC: ₹14.50 per share (from Passage 2 and confirmed in Passage 4).

Comparison:
Infosys' dividend per share for FY2026 (₹48.0) was significantly higher than ITC's dividend per share for the same year (₹14.50).",pass,1,pass,1,partial,0.5,0.833333333,"The answer correctly states Infosys at ₹48.0 and ITC at ₹14.50 and supports that Infosys was higher. However, it does not explicitly give the comparison amount (₹33.50 higher), which is part of the expected answer."
q068,Cross-document,cross_document,medium,2,How did TCS and ITC compare on FY2026 earnings per share?,"TCS reported EPS of ₹145.99, while ITC reported EPS of ₹16.20; TCS’ reported EPS was ₹129.79 higher.","In FY2026, TCS had an earnings per share (EPS) of ₹145.99, while ITC had an EPS of ₹16.20. 

The difference in EPS between TCS and ITC was ₹129.79, with TCS's EPS being approximately 9.01 times higher than ITC's EPS for FY2026.",pass,1,pass,1,pass,1,1,The answer matches the expected EPS values for TCS (₹145.99) and ITC (₹16.20) and correctly states the ₹129.79 difference. The extra ratio claim is supported by the same figures in the retrieved context.
q069,Cross-document,cross_document,medium,2,"Which was larger as a reported top-line figure in FY2026: TCS revenue or ITC Gross Revenue, and by how much?","TCS revenue was larger: ₹2,67,021 crore versus ITC Gross Revenue of ₹80,867.49 crore, a difference of ₹1,86,153.51 crore. The reports use different top-line labels/definitions.","In FY 2026, the reported revenue for TCS was ₹267,021 crore, while ITC's Gross Revenue from sale of products and services was ₹89,258.21 crore. 

TCS revenue was larger than ITC Gross Revenue by ₹177,762.79 crore.",fail,0,fail,0,fail,0,0,"The answer gives the wrong ITC figure: the context states ITC Gross Revenue was ₹80,867.49 crore, not ₹89,258.21 crore. As a result, the stated difference is also wrong. It also omits the note that the reports use different top-line labels/definitions."
q070,Cross-document,cross_document,medium,2,"From FY2024 to FY2026, which reported top-line measure grew by the larger percentage: Infosys revenue or ITC Gross Sales Value?","Infosys revenue increased about 16.3%, while ITC Gross Sales Value increased about 15.2%; on those reported measures, Infosys grew by about 1.1 percentage points more.","From FY2024 to FY2026, Infosys revenue grew by approximately 16.26%, while ITC Gross Sales Value grew by approximately 15.16%. Therefore, Infosys revenue grew by the larger percentage during this period.",pass,1,pass,1,pass,1,1,The generated answer matches the expected comparison and the percentage figures are consistent with the supplied revenue and Gross Sales Value data.
q071,Cross-document,cross_document,medium,2,"Between Infosys and ITC, whose reported profit measure showed the larger increase from FY2025 to FY2026?","Infosys’ net profit increased about 10.2% from FY2025 to FY2026, while ITC’s PAT increased about 1.0%; Infosys showed the larger year-over-year percentage increase.","Between Infosys and ITC, Infosys showed the larger increase in reported profit from FY2025 to FY2026. Infosys' net profit increased by ₹2,727 crore (from ₹26,713 crore in FY2025 to ₹29,440 crore in FY2026), while ITC's profit after tax increased by ₹193.13 crore (from ₹20,093.29 crore in FY2025 to ₹20,286.42 crore in FY2026).",partial,0.5,pass,1,partial,0.5,0.666666667,"The answer is correct that Infosys had the larger increase and the figures are supported by the context. However, it gives absolute rupee increases rather than the expected year-over-year percentage increase, so it only partially matches the requested comparison and omits the percentage detail."
q072,Cross-document,cross_document,medium,2,"What common AI adoption signal appears in the Infosys and TCS reports, and how is it expressed differently?","Both reports describe AI as already entering enterprise operations at scale, but the measures differ: Infosys says AI-led programs were deployed across 90% of its top 200 clients and cites more than 4,600 AI projects, while TCS says 95% of enterprises were still in the initial phases of their AI journey.","Both Infosys and TCS's reports indicate a strong commitment to AI adoption and integration across their operations and client services, but they express this common signal in different ways:

Common AI Adoption Signal:
- Both companies highlight AI as a core strategic focus and indicate extensive internal and client-facing adoption of AI technologies as part of their transformation.

How Infosys expresses it:
- Infosys frames its AI adoption around an ""AI-first"" business consulting and technology services approach.
- It highlights its AI-First value framework with six core pillars addressing a large market opportunity.
- Infosys emphasizes embedding AI deeply into software engineering and operations internally, such as through AI-powered agents improving software development lifecycle and enterprise functions.
- Infosys also stresses continuous employee skilling on AI (over 84% workforce), AI tool platforms like Infosys Topaz Fabric, and deployment of AI-led programs in 90% of their top 200 clients.
- The language focuses on being a ""navigator"" for clients' AI journeys, with strong ecosystem partnerships and AI-led innovation driving measurable business impact.

How TCS expresses it:
- TCS articulates a bold aspiration to be the ""world's largest AI-led technology services company"" with a ""full stack AI services"" approach from infrastructure through intelligence.
- TCS details a comprehensive internal transformation called ""tcs4i"" that embeds AI at scale in workflows and operations, including large-scale AI hackathons involving hundreds of thousands of employees.
- TCS highlights redefining all services with a ""Human + AI"" service autonomy model, along with future-ready talent investments (270,000+ employees with advanced AI skills).
- TCS also emphasizes a strong AI partner ecosystem with strategic collaborations, acquisitions, and ecosystem plays.
- Their focus is on enterprise AI scaled deployments, measurable gains in productivity, and leadership in AI innovation with notable awards and recognition.

Summary:
- Both companies signal deep internal AI adoption and client focus on AI transformation.
- Infosys emphasizes an AI-first culture integrating AI into engineering and operations with strong focus on platforms and continuous learning.
- TCS emphasizes a layered, full-stack AI transformation tied to a clear leadership aspiration, structured transformation pillars, and a broad ecosystem strategy.

In essence, while both see AI as foundational, Infosys stresses AI as an enabler of business consulting and engineering excellence, and TCS frames AI as a comprehensive transformational leap across all services and internal operations aiming at AI leadership at scale.",partial,0.5,partial,0.5,partial,0.5,0.5,"The answer captures the general theme that both reports signal AI adoption at scale, and it correctly mentions Infosys’s 90% of top 200 clients. However, it adds many unsupported details not in the retrieved context (e.g., AI-first culture metrics, 84% workforce, specific frameworks and aspirations), and it misses TCS’s specific signal that 95% of enterprises were still in the initial phases of their AI journey. Grounded support is therefore incomplete, and the key contrast is only partially answered."
q073,Cross-document,cross_document,medium,2,How do Infosys and TCS each frame trust as AI expands across enterprises?,"Infosys emphasizes responsible, secure and ethical AI aligned with regulations across jurisdictions; TCS emphasizes trust, security and data sovereignty as AI scales, supported by governance in its AI Operating System.","Infosys and TCS both emphasize the importance of trust as AI expands across enterprises, but they frame it with slightly different focuses and approaches:

Infosys:
- Infosys highlights ""AI Trust"" as one of the six core value pools in its AI-first value framework.
- They emphasize ensuring AI systems and agents embrace responsible, secure, and ethical AI practices across their lifecycle.
- Infosys focuses on embedding risk assessments, policy design, security testing, and governance to allow enterprises to scale AI with confidence while meeting regulatory, ethical, and risk expectations.
- Their approach stresses the importance of responsible AI practices to meet regulatory, ethical, and security challenges.

TCS:
- TCS frames trust in the context of embedding trust mechanisms such as security, monitoring, evaluation, and auditability within their AI Operating System.
- TCS emphasizes trust as a core aspect of scaling AI safely and securely.
- They highlight the need for trust, security, and data sovereignty as non-negotiable aspects as AI scales in enterprises.
- TCS positions itself as an ""Enterprise Intelligence Integrator,"" modernizing software stacks with embedded AI agents and governing data and security at scale to deliver measurable outcomes.
- Trust is integrated as part of the AI Operating System to make AI repeatable and governable through orchestration aligned with enterprise context.

Both companies acknowledge that trust is critical to the successful adoption and scaling of AI, focusing on security, governance, and ethical concerns to ensure AI can be deployed responsibly and effectively within enterprise environments.",pass,1,pass,1,pass,1,1,"The answer matches the expected framing: Infosys centers trust on responsible, secure, ethical AI with governance and regulatory alignment, while TCS centers trust on security and data sovereignty, supported by an AI Operating System with governance. All key claims are supported by the retrieved context."
q074,Cross-document,cross_document,medium,2,How do Infosys and TCS describe their strategic responses to the AI transition?,"Infosys organizes its AI-First value framework around six pillars—strategy & engineering, data, process, legacy modernization, physical AI and trust—while TCS identifies five transformation pillars: internal transformation, redefining services, a future-ready talent model, making AI real for clients, and an AI ecosystem play.","Infosys and TCS both describe their strategic responses to the AI transition as comprehensive and forward-looking, focusing on embedding AI deeply into their services, operations, and client engagements. Here is a summary of their approaches based on the provided context:

Infosys:
- Infosys embraces AI as a transformational, not incremental, technology transition that necessitates redesigning enterprise systems, architectures, and operating models.
- Their AI strategy is two-pronged: ""AI first services"" to capture new demand and drive growth, and ""AI augmented services"" to enhance existing services and win higher wallet share.
- They focus on platforms, intellectual property, partnerships, talent, and brand equity as the foundation for AI services.
- Infosys has developed an AI-first value framework with six core pillars addressing strategy & engineering, data, process, legacy modernization, physical AI, and trust.
- AI-led programs are deployed across 90% of their top 200 clients, and their AI offerings are growing rapidly.
- They emphasize continuous reskilling of their workforce, with over 84% enabled on AI.
- Infosys uses its AI suite, Infosys Topaz, to help clients leverage different foundation models efficiently.
- Internal transformation includes embedding AI deeply into software engineering and business operations using AI-powered agents.

TCS:
- TCS aspires to be the world's largest AI-led technology services company, embedding AI across its full stack from infrastructure to intelligence.
- Their strategic transformation is structured around five pillars: internal transformation, redefining all services, building a future-ready talent model, enabling AI adoption for clients, and strengthening the AI ecosystem play.
- They focus on a ""Human + AI"" operating model to embed AI across services and improve internal productivity and experience.
- TCS runs large-scale AI-driven initiatives including the world's largest AI hackathon to foster a culture of learning and innovation.
- They have made significant investments through building, acquiring, and partnering to scale AI capabilities and infrastructure.
- TCS provides comprehensive AI solutions including AI services revenue of US$ 2.3 billion and new-age services.
- They develop AI operating systems for industries and focus on secure, resilient, and sovereign AI infrastructure.

In summary, both companies view AI as foundational to their future growth, integrating it deeply into their service offerings, internal operations, and client transformations with strong emphasis on talent development and ecosystem partnerships.",pass,1,partial,0.5,partial,0.5,0.666666667,"The answer matches the expected summary: Infosys’ six AI-First pillars and TCS’s five transformation pillars are correctly stated. However, it adds several extra claims not fully supported by the retrieved context (for example, specific revenue figures and some broader strategic details), so groundedness is only partial. It is also somewhat more expansive than needed and omits no key pillar names, but the expected answer is concise and the response includes unnecessary unsupported elaboration."
q075,Cross-document,cross_document,hard,3,What complementary roles do Infosys’ legacy-modernization approach and TCS’ AI Operating System suggest for enterprise transformation?,"Infosys emphasizes using AI agents to understand legacy-system intent and progressively modernize legacy estates; TCS describes an AI Operating System spanning infrastructure, data, models, context, agents and governance. Together, the reports present modernization and an integrated AI operating layer as complementary parts of enterprise transformation.","Infosys' legacy-modernization approach and TCS' AI Operating System suggest complementary roles in enterprise transformation by addressing different but interconnected needs in the AI adoption journey.

Infosys focuses on legacy modernization as a foundational step to enable AI adoption. It emphasizes the need for a ""root-and-branch surgery"" where enterprises redesign business processes, customer journeys, and operating models rather than simply layering AI on top of existing legacy systems. Infosys highlights the importance of eliminating data silos, reducing technical debt, and combining traditional deterministic systems with AI and agentic models. The emphasis is on organizational readiness, data integrity, governance, and decision quality to unlock AI's true value. Infosys positions itself as a trusted partner helping clients navigate complex legacy environments and orchestrate AI tools to maintain strategic autonomy.

On the other hand, TCS is focused on delivering an AI Operating System that acts as an enterprise-wide control plane, enabling scalable, repeatable, and governed AI adoption. TCS' AI Operating System integrates infrastructure, data, models, context, agents, and governance into a unified framework that helps enterprises scale AI with speed and confidence. TCS also addresses trust, security, and sovereignty concerns in AI deployment and aims to embed AI into core business workflows and physical operations through its ""Full Stack AI Services"" approach and ""Human+AI"" service autonomy model. The Operating System facilitates enterprise intelligence integration, linking AI systems directly to real-world business outcomes.

Together, Infosys' legacy modernization prepares the enterprise infrastructure, processes, and culture, enabling the organization to be ready for AI integration. TCS' AI Operating System provides the practical technology stack and governance framework to operationalize AI applications at scale. Infosys sets the stage by simplifying and modernizing the complex legacy environment, while TCS supplies the enabling technology and platforms to embed AI as the operating foundation of enterprises. Both approaches emphasize business outcomes, trust, and sustainability, making them complementary components of a holistic enterprise transformation strategy leveraging AI.

In summary:
- Infosys legacy modernization rewires and prepares legacy systems and business models for AI transformation.
- TCS AI Operating System delivers the scalable, governed, integrated AI technology stack that runs on this modernized foundation.

This complementary dynamic supports enterprises to move from AI experimentation to enterprise-wide AI-driven business transformation effectively and securely.",partial,0.5,partial,0.5,partial,0.5,0.5,"The answer captures the broad complementary idea, but it adds several unsupported or embellished claims (e.g., “root-and-branch surgery,” Infosys focusing on business-process redesign, TCS as an enterprise-wide control plane with full-stack AI services/human+AI model) that go beyond the supplied evidence. It also misses the specific Infosys claim that AI agents can reverse-engineer legacy intent and modernize progressively, and it underplays the exact TCS framing of an AI Operating System spanning infrastructure, data, models, context, agents, and governance with trust/security/data sovereignty as non-negotiable."
q076,Cross-document,cross_document,hard,2,Compare the strategic priorities of ITC Next with TCS’ AI transformation agenda. What is the major difference in emphasis?,"ITC Next is framed around Future Tech, Consumer Centric, Climate Positive and Inclusive priorities, balancing technology, consumers and sustainability/inclusion. TCS’ agenda is explicitly centered on AI transformation through internal transformation, service reinvention, talent, client AI adoption and an ecosystem play.","The strategic priorities of ITC Next and TCS’ AI transformation agenda have distinct focuses reflecting their industry sectors and core business models:

ITC Next Strategy (from ITC Report):
- Focuses on building a future-ready, consumer-centric, climate-positive, and inclusive enterprise.
- Prioritizes competitiveness, profitability, and resilience.
- Emphasizes unlocking new growth vectors through enterprise synergies, digital acceleration, purposeful innovation, and strategic investments.
- Highlights multi-channel go-to-market expansion, supply chain efficiency, sustainability, and digital adoption.
- Anchored on pillars of future tech, consumer centricity, climate positivity, inclusivity, innovation, agility, and structural interventions across value chains.
- Strategy includes fortifying existing business platforms, expanding into new categories and growth vectors, and leveraging institutional strengths for sustainable competitive advantage.

TCS AI Transformation Agenda (from TCS Annual Report):
- Aspires to become the world's largest AI-led technology services company.
- Anchored on a full stack AI services approach spanning infrastructure, intelligent applications, and AI ecosystem.
- Structured around five strategic pillars: internal transformation to an AI-first culture, redefining all services with AI integration, building a future-ready AI-capable talent model, enabling AI adoption for clients, and strengthening AI ecosystem partnerships.
- Focuses on embedding AI deeply into service delivery, operating model, and client engagements to drive measurable outcomes.
- Covers building AI infrastructure, agentic AI models, AI-powered learning, and AI-enabled productivity gains.
- Emphasizes scalable, secure, and enterprise-contextual AI adoption aligned with industry needs and governance.

Major Difference in Emphasis:
- ITC Next's strategy is broader and multi-dimensional focusing on overall enterprise transformation centered on consumer markets, sustainability, climate impact, inclusivity, digital acceleration, and supply chain competitiveness across diverse physical goods and service sectors.
- TCS' AI transformation agenda is sharply focused on technology leadership and AI adoption at scale within the IT services industry, emphasizing deep AI integration across services, talent, and ecosystem to enable enterprise AI transformation.
- In summary, ITC Next is a holistic, multi-sector growth and sustainability strategy, while TCS is primarily focused on leveraging AI as the core driver for technology services growth and client transformation.",pass,1,pass,1,partial,0.5,0.833333333,"The answer matches the expected distinction: ITC Next is broader and balanced across future tech, consumer centricity, climate positivity, and inclusivity, while TCS is centered on AI transformation with five pillars. It is well supported by the retrieved context. However, it adds several extra details and does not as crisply state the specific major difference in emphasis as the expected answer, namely ITC’s broader enterprise/sustainability balance versus TCS’s explicit AI-led transformation focus."
q077,Cross-document,cross_document,hard,2,"What different kinds of business risk are highlighted by TCS and ITC in the reports, and what does that reveal about their contexts?","TCS highlights enterprise AI adoption and the need for trust, security and data sovereignty as technology-transformation risks; ITC highlights sector-specific regulatory/taxation pressure on the legal cigarette industry. The contrast reflects TCS’ technology-services context versus ITC’s exposure to regulated consumer businesses.","Based on the provided context from the annual reports of TCS and ITC, here are the different kinds of business risks highlighted by each company and what these risks reveal about their business contexts:

TCS Business Risks:
1. Climate Change & Environmental Aspects: TCS views sustainability as part of its business strategy, acknowledging risks related to climate change with financial and social impacts.
2. Litigation Risks: Risks from commercial disputes, intellectual property rights violations, data breaches, employment issues, and potential legal claims.
3. Currency Volatility: Fluctuations in the Indian Rupee against global currencies that affect reported revenue and profitability.
4. Volatile Global, Political and Economic Environment: Geo-political events, inflation, disruptions, sanctions compliance, and human rights risks impacting client spending and business continuity.
5. IP Infringement Risks: Risk of infringing customers' and partners' intellectual property, especially with AI usage, leading to litigation and reputation risks.
6. Data Protection & Privacy: Compliance risks and related opportunities.
7. Disruptive Technologies: Risks and opportunities related to emerging disruptive technologies including foundational AI models.
8. Restrictions on Global Mobility: Regulatory limits on movement of skilled professionals, affecting global delivery model and business costs.
9. Cyber Attacks: Risks related to security breaches.
10. Business Model Changes: Risks from shifts in foundational AI models that could impact traditional service revenues.

These risks reflect TCS's context as a global IT services and consulting company deeply integrated with technology, innovation, global operations, and regulatory environments. The emphasis is on technology disruption, intellectual property, data security, and global talent mobility.

ITC Business Risks:
The provided context from ITC's report only includes the general disclosures section and company details, but does not specifically detail risk types like TCS's report. Therefore, we do not have explicit information about business risks highlighted by ITC in this context.

Summary:
- TCS's business risks center on technology disruption, IP, regulatory and geopolitical challenges, and global delivery/execution risks consistent with a large IT and consulting company.
- ITC's detailed business risks are not provided in the given context to allow for comparison or analysis.

If you need more specific risk information about ITC from its report or a comparison when those details are available, please let me know.",fail,0,fail,0,fail,0,0,"The answer is largely about general TCS risks and says ITC’s risks are not provided, but the expected answer is specifically about AI-adoption/trust-security-data-sovereignty for TCS and punitive taxation/regulatory pressure on ITC. It misses the key ITC comparison and adds several unsupported TCS risks not relevant to the question."
q078,Cross-document,cross_document,hard,2,"Which company reported the larger FY2026 cash-generation figure when comparing Infosys’ free cash flow with TCS’ operating cash flow, and what was the difference?","TCS reported operating cash flow of ₹52,094 crore versus Infosys’ free cash flow of ₹33,097 crore, so TCS’ reported figure was ₹18,997 crore higher. The measures are not identical, so this is only a comparison of the reported cash-generation figures.","TCS reported the larger FY2026 cash-generation figure with an operating cash flow of ₹52,094 crore, compared to Infosys' free cash flow of ₹33,097 crore. The difference between the two is ₹18,997 crore.",pass,1,pass,1,pass,1,1,"The answer matches the expected comparison and difference, and all figures are supported by the retrieved context."
